"1","John Kennedy","Sr","Gustavus","4:27.10","H3"
"2","Andrew Papke-Larson","So","Luther","4:30.71","H3"
"3","Jamison Hull","Sr","Hamline","4:30.94","H3"
"4","Aaron Hirsh","Fr","Carleton","4:36.73","H3"
"5","Josh Campbell","Fr","Carleton","4:37.95","H3"
"6","Kyle Buck","Jr","Luther","4:38.08","H3"
"7","Marty Mitchell","Fr","Luther","4:42.35","H3"
"8","Joel Dotseth","So","Luther","4:44.90","H3"
"9","Karl Gesch","So","Luther","4:45.87","H2"
"10","Alex Rigdon","Fr","Luther","4:46.80","H2"
"11","Ian Gibbs-Hall","Fr","Gustavus","4:46.84","H2"
"12","Reid McMurry","Fr","Carleton","4:47.27","H2"
"13","Dan Offerdahl","Sr","Luther","4:48.92","H2"
"14","Ryan Norman","Fr","Augsburg","4:50.85","H2"
"15","David Pedrick","Fr","Luther","4:50.93","H1"
"16","Charles Schweitzer","Fr","Hamline","4:50.99","H2"
"17","Evan Neubauer","Fr","Luther","4:51.00","H2"
"18","Matt Rubins","Fr","Luther","4:52.51","H2"
"19","Dan Gerber","So","Augsburg","4:53.02","H1"
"20","Josh Gerber","Sr","Luther","4:56.75","H1"
"21","Matt Mehr","Sr","Concordia Moorhead","4:57.22","H2"
"22","Calvin Simmons","Fr","Luther","4:57.82","H1"
"23","Abdi HajiAli","Fr","Augsburg","5:00.88","H1"
"24","Eric Krueger","Sr","Luther","5:01.14","H1"
"25","Nick Andresen","Fr","Luther","5:01.57","H1"
"26","Tony Fremling","So","Augsburg","5:02.48","H2"
"27","Bryce Kilker","Fr","Luther","5:04.15","H1"
"28","Spencer Hinseth","Fr","Bethel","5:06.44","H1"
"29","Stephen Uhl","Fr","Luther","5:06.79","H1"
"30","Andrew Weckwerth","So","Luther","5:08.47","H1"
"31","Jacob Hellman","Sr","Luther","5:17.07","H1"
"32","Allen Clark","Fr","Bethel","5:24.75","H1"
"33","Eric Bly","Fr","Gustavus","5:26.12","H1"